nome_loja,url,data_scraping,emails,telefones,whatsapp_links,whatsapp_numeros,facebook,instagram,linkedin,twitter,youtube
013 Garage,https://www.instagram.com/grandeestiloimoveis/reel/DFOEha5SWHT/,2025-03-12T09:12:10.669212,bmoroukian@wnyt.com,,,,http://www.facebook.com/NewsChannel13,http://instagram.com/newschannel13,,,http://www.youtube.com/c/wnyt
01Smart Brasil,https://www.instagram.com/arm_motorss/p/DC4DSYWxe9Z/,2025-03-12T09:12:19.470361,atyourservice@insentials.com,,,,https://www.facebook.com/insentials.supplements,https://www.instagram.com/insentials.supplements,,,
048 Streetwear,https://www.herno.com/,2025-03-12T09:12:29.759315,,"5543-1024-1024, 17369857018794, 5548996471833, 37781216000141, 360014981020, 14181015571, 360015011899",https://wa.me/5548996471833,5548996471833,"https://www.facebook.com/sharer, https://www.facebook.com/HernoSpa","https://instagram.com/048.store, https://www.instagram.com/herno_official",,https://twitter.com/share,
100 CEM POR CENTO BATERA,https://bateriascanoas.com.br/,2025-03-12T09:12:39.339695,"feedback@life360.com, googleplay@life360.com","(51)3475-4364, 05134754364, 555134754364, 100 (51) 3475-4364",https://wa.me/555134754364,555134754364,,,,,
1001 Eletro,https://www.milium.com.br/,2025-03-12T09:12:48.076942,"lojaweb@casadosreles.com.br, atendimento@milium.com.br","1049286-7908, 1048112-7908, 1040639-7891, (47) 3145-1001, 5511945884537, 5884537 1194, 1041413-7896, 1133541898, 1133541898 1194",https://wa.me/5511945884537,5511945884537,"https://www.facebook.com/casa.dosreles, https://www.facebook.com/lojasmilium",https://www.instagram.com/lojasmilium,https://www.linkedin.com/company/milium,https://twitter.com/share,https://www.youtube.com/channel/UCd2ZSnsnnkQZufYBKOGVxbQ
1060plus,https://m.facebook.com/101.multimedia/photos/huion-new-1060-plus-graphic-drawing-tabletfind-more-details-on-our-website-in-th/2089978324412261/,2025-03-12T09:12:56.554289,,,,,,,,,
123 CAIXAS,https://www.123caixas.com.br/,2025-03-12T09:13:05.563011,vendas@123caixas.com.br,"555137137750, (12) 3322-8169, 100095356100937, (12) 99123-2769, 5512991232769","https://wa.me/555137137750, https://wa.me/5512991232769","5512991232769, 555137137750","https://facebook.com/profile.php, https://www.facebook.com/profile.php",https://instagram.com/123caixas,,,
123 Comprou,https://blog.123comprou.com.br/fale-conosco/,2025-03-12T09:13:14.859111,"nome@exemplo.com, contato@123comprou.com.br","2.55825315.9217, 3912104520, 3585031139, 4093544762, 86367.164487847, (11) 3090-1236, (11) 94731-1437",https://wa.me/5511947311437,5511947311437,https://www.facebook.com/123comprou,"https://www.instagram.com/123comprouoficial, https://www.instagram.com/123comprou",,,
123 realiza,https://veracruz.ba.gov.br/,2025-03-12T09:13:23.452994,relacionamento@veracruz.ba.gov.br,"(93) 3544-2211, 13891130000103, (71) 3633-1401",,,https://www.facebook.com/umanovaveracruz,https://www.instagram.com/umanovaveracruz,,,
123 Sport,https://www.novavenecia.es.gov.br/secretarias/,2025-03-12T09:13:35.496826,"gabinetesme@sjc.sp.gov.br, sasc@sjc.sp.gov.br, saude@sjc.sp.gov.br, semob@sjc.sp.gov.br, o@novavenecia.es.gov.br, obras@sjc.sp.gov.br, financas@novavenecia.es.gov.br, sadm@sjc.sp.gov.br, saj@sjc.sp.gov.br, seurbs@sjc.sp.gov.br, esportes@sjc.sp.gov.br, fundosocial@sjc.sp.gov.br, faleconosco@urbam.com.br, presidencia@fundhas.org.br, governo@sjc.sp.gov.br, sepac@sjc.sp.gov.br, sde@sjc.sp.gov.br, smc@sjc.sp.gov.br, fccr@fccr.sp.gov.br, procuradorianovavenecia@gmail.com","243332272527292, +55 (12) 3901-2400, 27 98184-0080, 27 98184-0112, 27 98184-0089, +55 (12) 3945-9510, +55 (12) 3212-1200, 41262023282, +55 12 3932-8600, +55 (12) 3878-9534",,,"https://www.facebook.com/PrefeituraSJC, https://www.facebook.com/PrefeituraDeNovaVenecia","https://www.instagram.com/secretariadeobrasnv, https://www.instagram.com/prefeituradenovavenecia, https://www.instagram.com/agricultura.nv, https://www.instagram.com/meioambiente_nv, https://www.instagram.com/educacaonv, https://www.instagram.com/socialnovavenecia, https://www.instagram.com/sectur.nv, https://www.instagram.com/sec.esportesnv, https://www.instagram.com/prefeiturasjcamposoficial",https://www.linkedin.com/company/prefeiturasjc,,https://www.youtube.com/channel/UCKzGotmiFeRpPrzA28NdaIQ
